CustomerID,Quantity,UnitPrice,order_timestamp,TotalPurchase
286,4,65.36,2025-07-26 23:17:26.786749241+00:00,261.44
286,4,54.87,2025-07-26 23:18:32.786749241+00:00,219.48
286,4,24.45,2025-07-26 23:19:52.786749241+00:00,97.8
286,3,60.14,2025-07-26 23:20:57.786749241+00:00,180.42000000000002
286,2,73.7,2025-07-26 23:22:29.786749241+00:00,147.4
286,3,70.06,2025-07-26 23:23:48.786749241+00:00,210.18
286,1,25.52,2025-07-26 23:25:07.786749241+00:00,25.52
286,3,97.16,2025-07-26 23:26:10.786749241+00:00,291.48
286,2,21.24,2025-07-26 23:27:09.786749241+00:00,42.48
286,1,43.59,2025-07-26 23:27:30.786749241+00:00,43.59
286,1,7.11,2025-07-26 23:28:10.786749241+00:00,7.11
237,3,9.8,2025-06-27 10:07:17.494933884+00:00,29.400000000000002
237,1,55.95,2025-06-27 10:08:52.494933884+00:00,55.95
237,4,5.45,2025-06-27 10:09:33.494933884+00:00,21.8
237,3,24.13,2025-06-27 10:09:54.494933884+00:00,72.39
237,3,93.25,2025-06-27 10:11:13.494933884+00:00,279.75
237,4,36.99,2025-06-27 10:12:01.494933884+00:00,147.96
237,2,37.37,2025-06-27 10:13:23.494933884+00:00,74.74
237,3,13.86,2025-06-27 10:13:50.494933884+00:00,41.58
237,3,54.48,2025-06-27 10:14:19.494933884+00:00,163.44
237,4,6.89,2025-06-27 10:15:50.494933884+00:00,27.56
237,4,30.08,2025-06-27 10:16:13.494933884+00:00,120.32
167,4,48.17,2025-09-15 15:02:58.625141832+00:00,192.68
167,1,8.55,2025-09-15 15:03:37.625141832+00:00,8.55
167,2,6.22,2025-09-15 15:04:22.625141832+00:00,12.44
167,4,59.66,2025-09-15 15:05:21.625141832+00:00,238.64
167,4,20.64,2025-09-15 15:05:44.625141832+00:00,82.56
167,4,49.66,2025-09-15 15:06:39.625141832+00:00,198.64
167,1,37.44,2025-09-15 15:07:39.625141832+00:00,37.44
167,2,99.32,2025-09-15 15:09:06.625141832+00:00,198.64
167,2,9.95,2025-09-15 15:10:35.625141832+00:00,19.9
167,1,7.2,2025-09-15 15:12:06.625141832+00:00,7.2
167,4,82.92,2025-09-15 15:13:29.625141832+00:00,331.68
51,2,94.15,2025-06-28 03:55:10.058360553+00:00,188.3
51,4,82.55,2025-06-28 03:56:16.058360553+00:00,330.2
51,1,68.06,2025-06-28 03:56:43.058360553+00:00,68.06
51,1,26.82,2025-06-28 03:57:47.058360553+00:00,26.82
51,2,92.14,2025-06-28 03:59:11.058360553+00:00,184.28
51,2,49.87,2025-06-28 04:00:09.058360553+00:00,99.74
51,1,33.28,2025-06-28 04:00:53.058360553+00:00,33.28
51,3,41.65,2025-06-28 04:02:10.058360553+00:00,124.94999999999999
51,1,44.88,2025-06-28 04:03:15.058360553+00:00,44.88
51,1,33.18,2025-06-28 04:04:38.058360553+00:00,33.18
51,1,57.17,2025-06-28 04:05:23.058360553+00:00,57.17
51,3,93.71,2025-06-28 04:05:51.058360553+00:00,281.13
51,4,43.84,2025-06-28 04:06:49.058360553+00:00,175.36
51,2,75.8,2025-06-28 04:07:28.058360553+00:00,151.6
86,1,43.09,2025-07-23 22:42:40.468034706+00:00,43.09
86,1,9.68,2025-07-23 22:43:35.468034706+00:00,9.68
86,2,46.9,2025-07-23 22:45:01.468034706+00:00,93.8
86,4,16.48,2025-07-23 22:46:27.468034706+00:00,65.92
86,1,33.32,2025-07-23 22:47:20.468034706+00:00,33.32
86,2,64.74,2025-07-23 22:47:42.468034706+00:00,129.48
86,4,55.7,2025-07-23 22:48:34.468034706+00:00,222.8
86,2,69.85,2025-07-23 22:49:20.468034706+00:00,139.7
86,3,65.96,2025-07-23 22:50:59.468034706+00:00,197.88
255,3,95.45,2025-05-05 19:48:26.419134054+00:00,286.35
199,3,58.77,2025-10-12 11:30:38.064631990+00:00,176.31
199,3,66.13,2025-10-12 11:32:09.064631990+00:00,198.39
199,3,88.31,2025-10-12 11:33:36.064631990+00:00,264.93
199,3,26.42,2025-10-12 11:35:12.064631990+00:00,79.26
199,1,77.1,2025-10-12 11:36:37.064631990+00:00,77.1
199,4,58.31,2025-10-12 11:36:59.064631990+00:00,233.24
199,2,37.57,2025-10-12 11:38:19.064631990+00:00,75.14
199,3,62.95,2025-10-12 11:38:56.064631990+00:00,188.85000000000002
199,1,74.86,2025-10-12 11:40:16.064631990+00:00,74.86
199,1,46.62,2025-10-12 11:41:25.064631990+00:00,46.62
199,3,58.38,2025-10-12 11:42:01.064631990+00:00,175.14000000000001
199,2,41.24,2025-10-12 11:43:19.064631990+00:00,82.48
199,1,25.51,2025-10-12 11:44:25.064631990+00:00,25.51
199,2,96.09,2025-10-12 11:44:55.064631990+00:00,192.18
20,2,23.67,2025-09-26 13:34:03.681501501+00:00,47.34
20,3,33.85,2025-09-26 13:35:17.681501501+00:00,101.55000000000001
20,4,89.82,2025-09-26 13:36:50.681501501+00:00,359.28
20,4,47.19,2025-09-26 13:38:18.681501501+00:00,188.76
20,4,59.75,2025-09-26 13:39:22.681501501+00:00,239.0
20,2,34.84,2025-09-26 13:40:12.681501501+00:00,69.68
20,3,79.55,2025-09-26 13:40:39.681501501+00:00,238.64999999999998
20,2,47.82,2025-09-26 13:41:21.681501501+00:00,95.64
20,2,25.8,2025-09-26 13:42:58.681501501+00:00,51.6
24,3,37.77,2025-09-17 18:08:48.611700236+00:00,113.31
24,4,41.12,2025-09-17 18:09:29.611700236+00:00,164.48
24,2,22.02,2025-09-17 18:10:19.611700236+00:00,44.04
24,3,35.13,2025-09-17 18:11:20.611700236+00:00,105.39000000000001
24,3,68.34,2025-09-17 18:11:55.611700236+00:00,205.02
24,3,83.14,2025-09-17 18:13:04.611700236+00:00,249.42000000000002
102,1,9.48,2025-04-22 16:12:03.010582696+00:00,9.48
102,4,47.6,2025-04-22 16:12:37.010582696+00:00,190.4
102,3,78.57,2025-04-22 16:13:18.010582696+00:00,235.70999999999998
102,3,13.0,2025-04-22 16:14:02.010582696+00:00,39.0
102,3,70.39,2025-04-22 16:14:38.010582696+00:00,211.17000000000002
256,2,49.76,2025-09-25 03:48:42.552811100+00:00,99.52
256,2,86.04,2025-09-25 03:49:57.552811100+00:00,172.08
256,3,86.01,2025-09-25 03:50:40.552811100+00:00,258.03000000000003
256,4,26.72,2025-09-25 03:51:36.552811100+00:00,106.88
256,2,83.82,2025-09-25 03:52:12.552811100+00:00,167.64
256,2,77.77,2025-09-25 03:52:53.552811100+00:00,155.54
256,4,13.37,2025-09-25 03:54:22.552811100+00:00,53.48
256,1,42.13,2025-09-25 03:55:19.552811100+00:00,42.13
256,1,50.46,2025-09-25 03:56:03.552811100+00:00,50.46
256,4,8.45,2025-09-25 03:57:29.552811100+00:00,33.8
184,4,49.6,2025-04-26 11:23:37.877437164+00:00,198.4
184,4,84.93,2025-04-26 11:24:38.877437164+00:00,339.72
184,4,9.2,2025-04-26 11:25:09.877437164+00:00,36.8
184,1,85.35,2025-04-26 11:26:32.877437164+00:00,85.35
184,3,71.18,2025-04-26 11:27:46.877437164+00:00,213.54000000000002
184,2,52.58,2025-04-26 11:28:36.877437164+00:00,105.16
184,4,85.17,2025-04-26 11:30:04.877437164+00:00,340.68
184,2,93.77,2025-04-26 11:31:09.877437164+00:00,187.54
184,4,99.62,2025-04-26 11:32:45.877437164+00:00,398.48
184,4,59.06,2025-04-26 11:33:53.877437164+00:00,236.24
27,3,22.92,2025-09-24 03:26:08.124552627+00:00,68.76
27,4,69.33,2025-09-24 03:27:18.124552627+00:00,277.32
27,3,15.03,2025-09-24 03:28:45.124552627+00:00,45.089999999999996
27,1,36.79,2025-09-24 03:29:59.124552627+00:00,36.79
27,2,83.33,2025-09-24 03:31:03.124552627+00:00,166.66
27,2,76.31,2025-09-24 03:32:04.124552627+00:00,152.62
27,3,64.0,2025-09-24 03:32:34.124552627+00:00,192.0
27,3,93.63,2025-09-24 03:33:38.124552627+00:00,280.89
27,2,36.69,2025-09-24 03:34:55.124552627+00:00,73.38
